120,BEND,MAIN,541-382-0674
QWEST,Bend River Mall Shopping Center,FAX,541-385-6759
,3098  N. Highway 97,ROLLOVER,541-382-0730
,"Bend,  OR  97701",CREDIT CARD LINE,541-382-9308
,,POS,541-312-8030
,,ATM ,541-312-5329
122,GRESHAM,MAIN,503-661-6644
VERIZON,Oregon Trail Shopping Center,FAX,503-667-9915
,1979 E. Burnside,ROLLOVER,503-492-0221
,"Gresham, OR  97030",CREDIT CARD LINE,503-666-5599
,,POS,503-465-1714
,,ATM ,503-667-0445
123,HOOD RIVER,MAIN,541-386-3394
SPRINT,,FAX,541-386-7652
,1803 12th Street,CREDIT CARD LINE,541-386-5656
,"Hood River, OR  97031",ROLLOVER,541-386-6694
,,POS,541-386-1101
,,ATM ,541-308-3357
124,LEBANON,MAIN,541-451-1207
CENTURYTEL,Lebanon Plaza Shopping Center,FAX,541-451-1722
,2650 S. Santiam Hwy,ROLLOVER,541-451-1293
,"Lebanon, OR  97355",CREDIT CARD LINE,541-451-1356
,,POS,541-258-7501
,,ATM ,541-258-3079
125,HERMISTON,MAIN,541-567-1808
QWEST,Hermiston Plaza Shopping Center,FAX,541-567-1512
,800 S. Hwy 395,ROLLOVER,541-567-2284
,"Hermiston, OR  97838",CREDIT CARD LINE,541-567-6191
,,POS,541-567-8537
,,ATM ,541-567-5489
126,KENNEWICK,MAIN,509-735-7438
VERIZON,Columbia Square Shopping Center,FAX,509-735-1674
,1200 N. Columbia Center Blvd,CREDIT CARD LINE,509-735-6272
,"Kennewick,  WA  99336",ROLLOVER,509-736-0664
,,POS,509-735-1815
127,NEWBERG,MAIN,503-538-2194
VERIZON,Springbrook Plaza Shopping Center,FAX,503-538-6628
,1000 N. Springbrook Rd,ROLLOVER,503-538-0443
,"Newberg, OR  97132",CREDIT CARD LINE,503-538-4720
,,POS,503-538-1644
,,ATM ,503-537-2049
128,SPOKANE,MAIN,509-484-6888
QWEST,Franklin Park Mall Shopping Center,FAX,509-483-6456
,North 5602 Division,ROLLOVER,509-484-8650
,"Spokane, WA  99207",CREDIT CARD LINE,509-482-0366
,,POS,509-484-1072
129,SHERWOOD,MAIN,503-625-5510
VERIZON,Sherwood Plaza Shopping Center,FAX,503-625-3238
,16280 SW Langer Drive,ROLLOVER,503-625-4901
,PO Box 6,CREDIT CARD LINE,503-625-6201
,"Sherwood, OR  97140",POS,503-625-8763
,,ATM ,503-625-7310
130,WOODBURN,MAIN,503-981-4290
QWEST,North Park Plaza Shopping Center,FAX,503-981-3832
,1543 Mt. Hood Avenue,ROLLOVER,503-982-1766
,"Woodburn, OR  97071",CREDIT CARD LINE,503-981-9019
,,POS,503-981-6328
,,ATM ,503-982-0461
131,SUNSET,MAIN,503-646-7862
VERIZON,Sunset Mall Shopping Center,FAX,503-626-8138
,13645 NW Cornell Road,ROLLOVER,503-646-3328
,"Portland, OR  97229",CREDIT CARD LINE,503-646-9928
,,POS,503-646-0804
,,ATM ,503-641-7094
132,MCMINNVILLE,MAIN,503-472-0561
VERIZON,McMinnville Square Shopping Center,FAX,503-472-0177
,1200 N. Baker,ROLLOVER,503-434-1211
,"McMinnville, OR  97128",CREDIT CARD LINE,503-472-1427
,,POS,503-434-9451
,,ATM ,503-472-0561
133,RICHLAND,MAIN,509-946-0681
VERIZON,Washington Plaza Shopping Center,FAX,509-943-0145
,1745 George Washington Way,CREDIT CARD LINE,509-946-1550
,"Richland, WA  99352",ROLLOVER,509-946-7793
,,POS,509-946-5761
134,SACRAMENTO,MAIN,916-422-0366
PACIFIC BELL,Lake Crest Village Shopping Center,FAX,916-422-0537
,960 W. Florin,CREDIT CARD LINE,916-422-0241
,"Sacramento, CA  95831",ROLLOVER,916-422-0433
,,POS,916-422-4723
136,KELSO,MAIN,360-423-7306
QWEST,,ROLLOVER,360-423-0231
,205 S. Kelso Dr,CREDIT CARD LINE,360-423-0673
,"Kelso,  WA  98626",FAX,360-425-4105
,,POS,360-423-8436
137,CHEYENNE,MAIN,307-637-4421
QWEST,Cheyenne Plaza Shopping Center,FAX,307-637-8783
,3609 E. Lincoln Way,ROLLOVER,307-637-4427
,"Cheyenne, WY  82001",CREDIT CARD LINE,307-632-4430
,,POS,307-772-7995
138,OREGON CITY,MAIN,503-657-9183
QWEST,Oregon City Shopping Center,ROLLOVER,503-657-3156
,1926 SE McLoughlin Blvd,FAX,503-557-3749
,"Oregon City, OR  97045",POS,503-723-3083
,,CREDIT CARD LINE,503-650-7661
,,ATM ,503-657-2291
139,VANCOUVER,MAIN,360-254-9204
QWEST,Vancouver Village Shopping Center,FAX,360-604-8474
,4720 NE Thurston,CREDIT CARD LINE,360-944-7045
,"Vancouver, WA  98662",POS,360-254-1090
,,ROLLOVER,360-254-1543
140,MILL CREEK,MAIN,425-745-6789
VERIZON,Mill Creek Plaza Shopping Center,FAX,425-745-1686
,16330 Bothell-Everett Hwy,ROLLOVER,425-741-8219
,"Mill Creek, WA  98012",CREDIT CARD LINE,425-742-6440
,,POS,425-741-8749
141,RED BLUFF,MAIN,530-529-1104
PACIFIC BELL,Belle Mille Landing Shopping Center,FAX,530-529-2174
,128 Bell Mill Road,ROLLOVER,530-529-1151
,"Red Bluff, CA  96080",CREDIT CARD LINE,530-529-4869
,,POS,530-528-1833
